TIME,EKTH,HS_PART,WP_PART,WSPD_ECMWF,WDIR_ECMWF,BOT_DEPTH,DIST2COAST,Outlier_Label
2022-01-27 21:00:00,40.255272,1.0274526,251.4126,10.022142,229.21764,-4282.1743,976.5,1
2022-01-28 03:00:00,18.041603,0.7333906,250.74112,9.061917,168.34286,-4885.4204,885.726,0
2022-01-28 06:00:00,3.0395126,0.5833114,186.89229,7.464545,54.124546,-3197.4963,247.27272,0
2022-01-28 09:00:00,32.084324,0.84804976,272.3091,7.629121,223.4055,-4493.423,987.7692,0
2022-01-28 12:00:00,10.555225,0.7282103,250.40268,8.050169,190.14679,-3526.721,899.8305,0
2022-01-28 15:00:00,14.099355,0.6614139,250.55025,8.305209,153.11707,-4226.2397,504.76047,0
2022-01-28 18:00:00,10.9243355,0.5923381,212.3934,7.3965006,135.2745,-3585.8257,238.45,0
2022-01-28 21:00:00,22.30488,0.8017418,237.63362,7.528,201.31065,-4253.798,1139.3833,0
2022-01-29 03:00:00,17.313704,0.7236593,241.41934,8.22875,143.85925,-4821.6333,834.0625,0
2022-01-29 06:00:00,5.1620064,0.5793506,206.84897,7.515814,72.89001,-4492.8115,310.60464,0
2022-01-29 09:00:00,26.905184,0.81118137,370.36478,8.674634,209.03442,-4579.567,796.9756,0
2022-01-29 12:00:00,25.734043,0.69672227,250.29744,6.505151,177.07349,-3981.4502,1328.5454,0
2022-01-29 15:00:00,18.51763,0.736504,260.81018,8.879571,179.25235,-4441.9287,701.42145,0
2022-01-29 18:00:00,16.018684,0.695964,258.16782,8.43021,162.81674,-3700.718,442.0842,0
2022-01-29 21:00:00,12.444619,0.6886627,233.76733,7.7799997,219.9167,-4030.3281,777.25714,0
2022-01-30 00:00:00,96.3853,1.6476353,437.76086,15.713684,253.32527,-4728.03,684.9474,1
2022-01-30 03:00:00,18.051786,0.733658,229.54846,6.851538,117.64877,-4858.911,641.6462,0
2022-01-30 06:00:00,13.606621,0.66351557,251.82637,8.216438,140.83179,-4123.796,515.6301,0
2022-01-30 09:00:00,14.276633,0.7217991,244.35587,9.294531,192.43828,-4694.2812,895.78125,0
2022-01-30 12:00:00,6.83808,0.58176523,265.58023,7.9017386,225.59145,-4151.3267,955.86957,0
2022-01-30 15:00:00,21.115627,0.73858094,233.21529,8.991092,152.96822,-4748.744,688.1177,0
2022-01-30 18:00:00,11.0983095,0.5985995,213.9969,9.049999,76.10313,-3522.8242,260.6875,0
2022-01-30 21:00:00,11.50179,0.6703913,261.0126,8.178852,220.91063,-4450.987,1031.5737,0
2022-01-31 00:00:00,29.663473,0.837478,247.69165,8.447166,227.52765,-4031.6096,926.51666,0
2022-01-31 03:00:00,36.54836,0.8192345,244.98332,8.220575,133.57152,-4969.146,858.13794,0
2022-01-31 06:00:00,12.50393,0.6825136,269.95825,8.175455,162.33405,-3134.3901,412.33768,0
2022-01-31 09:00:00,11.7532,0.68650395,251.59766,8.925365,193.58,-4463.079,800.3415,0
2022-01-31 12:00:00,20.362959,0.7231482,257.22223,8.431494,216.45746,-4053.023,1097.816,0
2022-01-31 15:00:00,30.87117,0.8369571,276.46774,9.559843,181.94281,-4456.9663,755.9297,0
2022-01-31 18:00:00,12.131543,0.6520749,232.29997,7.6789474,78.27439,-3587.681,328.1579,0
2022-02-01 03:00:00,11.494047,0.6176234,234.74687,8.132691,86.28808,-4683.4434,319.84616,0
2022-02-01 06:00:00,15.945,0.7391138,269.81168,7.702025,147.49246,-3954.9265,450.5633,0
2022-02-01 09:00:00,7.5057435,0.60677683,260.34793,7.6446767,213.03146,-4678.591,734.0323,0
2022-02-01 12:00:00,18.55489,0.6721405,257.91534,7.4636,220.19547,-4100.974,1056.1466,0
2022-02-01 15:00:00,16.966305,0.68861556,278.75378,7.8446817,157.30446,-3998.1118,663.2837,0
2022-02-01 18:00:00,4.1937246,0.5082294,219.57605,6.7816133,123.339676,-3829.509,257.67743,0
2022-02-01 21:00:00,18.399315,0.7076874,256.26688,7.547928,221.56424,-4145.682,886.9009,0
2022-02-02 00:00:00,33.88855,1.3330002,225.55154,12.71,268.95502,-2934.081,357.5,1
2022-02-02 03:00:00,23.759535,0.75014347,275.47995,8.930648,125.98105,-5070.3403,929.987,0
2022-02-02 06:00:00,8.946257,0.6351749,253.16292,7.6745715,189.43047,-3434.356,403.00952,0
2022-02-02 09:00:00,7.755685,0.6982281,234.07535,8.058667,235.98201,-4447.5015,946.56665,0
2022-02-02 12:00:00,26.70934,0.9359738,316.96396,9.275892,239.71965,-3596.4983,875.4107,1
2022-02-02 15:00:00,10.66785,0.64221966,259.58038,8.551476,142.26967,-4680.687,531.07385,0
2022-02-02 18:00:00,9.051187,0.6987769,256.30872,9.0225,156.57625,-2442.7266,267.33334,0
2022-02-02 21:00:00,18.5332,0.81656283,285.12537,6.1974187,199.5395,-4129.3525,1046.9193,0
2022-02-03 03:00:00,13.228532,0.69167185,301.24927,8.776101,134.99898,-4523.9966,701.9322,0
2022-02-03 06:00:00,12.738359,0.680881,261.56183,7.408235,155.78,-3760.8652,469.55884,0
2022-02-03 09:00:00,20.022076,0.79541856,335.15363,8.094375,214.005,-4419.418,952.71875,0
2022-02-03 12:00:00,19.217186,0.7555189,277.3792,7.8247223,247.91238,-3938.514,1265.9861,0
2022-02-03 15:00:00,19.030516,0.7034017,258.34705,8.278519,151.87001,-4485.3154,410.0926,0
2022-02-03 18:00:00,5.137028,0.55149037,214.10141,6.4433327,179.63936,-3206.006,222.125,0
2022-02-03 21:00:00,18.924389,0.81635964,251.03043,7.553333,210.34702,-3879.1836,826.6847,0
2022-02-04 03:00:00,13.682462,0.6692328,250.83293,8.330724,110.93884,-4766.9043,785.3043,0
2022-02-04 06:00:00,10.225426,0.6299927,235.34048,7.853359,153.16313,-3723.8335,436.8125,0
2022-02-04 09:00:00,13.973659,0.65235174,238.58171,6.187176,206.57481,-4582.9507,894.5765,0
2022-02-04 12:00:00,16.640747,0.85540116,272.4306,9.579076,188.12523,-3805.4175,948.4308,0
2022-02-04 15:00:00,20.199734,0.7331971,256.3712,8.512431,159.87682,-4518.9526,599.3472,0
2022-02-04 18:00:00,3.803778,0.5186331,199.94563,6.5092587,95.298515,-3576.2505,206.51852,0
2022-02-04 21:00:00,13.207792,0.70873845,275.2137,7.999118,159.04588,-4407.622,924.58826,0
2022-02-05 00:00:00,18.489544,0.8114277,270.79355,10.631965,239.02571,-4257.269,924.6071,0
2022-02-05 03:00:00,9.881866,0.6196904,266.10138,8.075052,138.45114,-4822.522,821.6185,0
2022-02-05 06:00:00,14.206673,0.77441806,255.91238,7.8492985,172.17192,-2878.7537,366.01755,0
2022-02-05 09:00:00,12.148962,0.65573543,274.49225,10.808095,151.7669,-4376.732,784.6667,0
2022-02-05 12:00:00,20.79635,0.81477773,262.53534,9.673858,203.15698,-4128.815,1304.3715,0
2022-02-05 15:00:00,24.915722,0.7727051,277.97476,9.232835,166.10542,-4468.6074,751.5906,0
2022-02-05 18:00:00,5.2008624,0.5208193,234.43022,7.8345003,107.06575,-4308.4385,246.25,0
2022-02-05 21:00:00,11.933918,0.72826433,279.9855,8.524194,213.3413,-4052.4011,972.9355,0
2022-02-06 03:00:00,7.7456436,0.58152974,253.51791,7.132373,107.528984,-4926.67,468.10168,0
2022-02-06 06:00:00,13.934177,0.7386113,269.9968,9.615797,153.4376,-4056.402,450.05798,0
2022-02-06 09:00:00,16.158167,0.7511339,287.775,10.512742,190.94191,-4763.3667,827.0806,0
2022-02-06 12:00:00,8.954245,0.62532824,246.06856,7.838272,230.79521,-4177.6123,956.7531,0
2022-02-06 15:00:00,14.517288,0.70151716,269.96646,8.99898,172.24849,-4095.764,601.8663,0
2022-02-06 18:00:00,10.500264,0.66451776,283.47247,10.815555,137.76846,-4396.2554,801.2,0
2022-02-06 21:00:00,10.804283,0.69177496,231.19693,7.9869127,227.42174,-4478.419,1034.321,0
2022-02-07 00:00:00,46.353638,0.89426404,275.24643,9.426596,179.48318,-3507.077,680.8723,0
2022-02-07 03:00:00,12.7487755,0.64792794,243.51762,7.781999,130.78775,-5043.125,918.825,0
2022-02-07 06:00:00,18.560211,0.7013928,246.8586,8.17,136.25954,-3421.2207,407.25,0
